Name,Model,Qty.
Cable cutter,CN-10,3
Freewheel pin spanner,SPA-2,3
Spoke wrench,"#0, #1, #2",1
Chain break,"CT-5, CT-3",3
Bottom bracket wrenches,"HCW-5, BBT-4, BBT-9",5
Sealed bracket wrenches,"BBT-22, FR-5, BBT-5",5
Freewheel remover,"FR-6, FR-5, FR-2",2
Screwdrivers phillips,,3
Screwdrivers flathead,,2
Hammer,,2
Chain ring nut wrench,"CNW-2, CL-FC20",2
Adjustable wrench,10″ 12″,2
Cone wrench,SCW-13 – SCW-19,11
Headset wrench,HCW-6,2
Crank puller,"CCP-2, CWP-7, CWP-6",5
Crank wrench,CCW-5,1
Chain wear indicator,CC-3,1
Pedal wrench,"PW-5, PW-4, PW-3",3
Chain whip,SR-1,1
Diagonal cutters,,1
Needle nose pliers,,1
Hex wrench,2mm – 10mm,22
Triple wrench,"4mm, 5mm, 6mm",1
Socket set,6mm – 14mm,1
Metric wrench,7mm – 18mm,1
